"PatchIndex","MethodName","MethodID","Operator","Patch","Compiled","AllTestsPassed","BaselineRuntime(ms)","PatchRuntime(ms)","RuntimeImprovement(ms)","ImprovementPercent"
"1","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":665 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":665 |","true","true","60.00","59.00","1.00","1.67"
"81","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","MatchedSwapStatement","| gin.edit.matched.MatchedSwapStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":590 <-> ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":546 |","false","false","9.00","-1.00","10.00","111.11"
"82","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","SwapStatement","| gin.edit.statement.SwapStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":875 <-> ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":1228 |","false","false","9.00","-1.00","10.00","111.11"
"83","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","ReplaceStatement","| gin.edit.statement.ReplaceStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":654 -> ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":1052 |","true","true","9.00","10.00","-1.00","-11.11"
"84","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","MatchedDeleteStatement","| gin.edit.matched.MatchedDeleteStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":1111 |","true","false","9.00","-1.00","10.00","111.11"
"85","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","ReplaceStatement","| gin.edit.statement.ReplaceStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":313 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":686 |","false","false","60.00","-1.00","61.00","101.67"
"86","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":646 -> ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":984:984 |","false","false","9.00","-1.00","10.00","111.11"
"87","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":726 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":698 |","false","false","60.00","-1.00","61.00","101.67"
"88","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":752 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":674 |","false","false","60.00","-1.00","61.00","101.67"
"89","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","CopyStatement","| gin.edit.statement.CopyStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":701 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":664:665 |","false","false","60.00","-1.00","61.00","101.67"
"90","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","CopyStatement","| gin.edit.statement.CopyStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":573 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":673:673 |","false","false","60.00","-1.00","61.00","101.67"
"91","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","CopyStatement","| gin.edit.statement.CopyStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":397 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":650:651 |","false","false","60.00","-1.00","61.00","101.67"
"92","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":1368 -> ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":773:774 |","false","false","9.00","-1.00","10.00","111.11"
"93","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","CopyStatement","| gin.edit.statement.CopyStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":335 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":700:701 |","false","false","60.00","-1.00","61.00","101.67"
"94","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","MatchedSwapStatement","| gin.edit.matched.MatchedSwapStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":1466 <-> ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":972 |","false","false","9.00","-1.00","10.00","111.11"
"95","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":710 |","false","false","60.00","-1.00","61.00","101.67"
"96","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","SwapStatement","| gin.edit.statement.SwapStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":685 <-> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":708 |","false","false","60.00","-1.00","61.00","101.67"
"97","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":397 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":685:685 |","false","false","60.00","-1.00","61.00","101.67"
"98","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":684 |","true","false","60.00","-1.00","61.00","101.67"
"99","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":708 |","false","false","60.00","-1.00","61.00","101.67"
"100","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","MatchedSwapStatement","| gin.edit.matched.MatchedSwapStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":1450 <-> ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":584 |","false","false","9.00","-1.00","10.00","111.11"
